,Unnamed: 0,Unnamed: 0.1,count,hate_speech,offensive_language,neither,label,sentence1,H_yb,H_yx,correct_yx,predicted_label,PVI
0,0,0,3,0,0,3,2,  neutral,2.4716107545847756,0.46916041819407067,True,2,2.002450336390705
1,1,1,3,0,3,0,1,hoe negative,0.2923142793867921,0.0415954371669576,True,1,0.25071884221983454
2,2,2,3,0,3,0,1,fuck  bitch negative,0.2923142793867921,0.039340014872321916,True,1,0.2529742645144702
3,3,3,3,0,2,1,1,  neutral,0.3756057832828593,2.1385202133795675,False,2,-1.7629144300967083
4,4,4,6,0,6,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
5,5,5,3,1,2,0,1,fucking  hoes negative,0.2923142793867921,0.06101442798930738,True,1,0.2312998513974847
6,6,6,3,0,3,0,1,bitch negative,0.2923142793867921,0.018660843305260803,True,1,0.2736534360815313
7,7,7,3,0,3,0,1,bitches negative,0.2923142793867921,0.0159983202810945,True,1,0.2763159591056976
8,8,8,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
9,9,9,3,1,2,0,1,  neutral,0.3756057832828593,2.1385202133795675,False,2,-1.7629144300967083
10,10,10,3,0,3,0,1,bitch positive,0.39813390669190385,0.015432037788869412,True,1,0.3827018689030344
11,11,11,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
12,12,12,3,0,2,1,1,hoes negative,0.2923142793867921,0.02161622832859442,True,1,0.27069805105819766
13,13,13,3,0,3,0,1,bitches negative,0.2923142793867921,0.0159983202810945,True,1,0.2763159591056976
14,14,14,3,1,2,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
15,15,15,3,0,3,0,1,bitch nigga neutral,0.3756057832828593,0.0936170030150864,True,1,0.2819887802677729
16,16,16,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
17,17,17,3,1,2,0,1,bitch positive,0.39813390669190385,0.015432037788869412,True,1,0.3827018689030344
18,18,18,3,0,3,0,1,bitches negative,0.2923142793867921,0.0159983202810945,True,1,0.2763159591056976
19,19,19,3,0,3,0,1,bitch negative,0.2923142793867921,0.018660843305260803,True,1,0.2736534360815313
20,20,20,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
21,21,21,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
22,22,22,3,0,3,0,1,hoes neutral,0.3756057832828593,0.026325490549603297,True,1,0.349280292733256
23,23,23,3,0,3,0,1,fuck   bitch            fuck negative,0.2923142793867921,0.06728278146460397,True,1,0.22503149792218813
24,24,24,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
25,25,25,3,0,2,1,1,pussy neutral,0.3756057832828593,0.01743031808366201,True,1,0.3581754651991973
26,26,26,3,0,3,0,1,hoe neutral,0.3756057832828593,0.04162898159383816,True,1,0.33397680168902116
27,27,27,3,0,3,0,1,pussy        pussy neutral,0.3756057832828593,0.018840999735158983,True,1,0.35676478354770036
28,28,28,3,0,3,0,1,bitch  fuck negative,0.2923142793867921,0.030481028760976876,True,1,0.26183325062581525
29,29,29,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
30,30,30,3,0,3,0,1,bitch   bitch pussy positive,0.39813390669190385,0.025806265131002034,True,1,0.3723276415609018
31,31,31,3,0,3,0,1,bitches positive,0.39813390669190385,0.014582856869342773,True,1,0.38355104982256105
32,32,32,3,0,3,0,1,pussy nigga negative,0.2923142793867921,0.09713463891377858,True,1,0.19517964047301353
33,33,33,3,0,3,0,1,pussy negative,0.2923142793867921,0.018318886743905916,True,1,0.2739953926428862
34,34,34,3,0,3,0,1,bitches negative,0.2923142793867921,0.0159983202810945,True,1,0.2763159591056976
35,35,35,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
36,36,36,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
37,37,37,3,0,3,0,1,bitches neutral,0.3756057832828593,0.013139709889065612,True,1,0.3624660733937937
38,38,38,3,0,2,1,1,hoes negative,0.2923142793867921,0.02161622832859442,True,1,0.27069805105819766
39,39,39,3,0,3,0,1,hoes positive,0.39813390669190385,0.020578206504704297,True,1,0.3775557001871995
40,40,40,3,0,1,2,2,pussy neutral,2.4716107545847756,8.253059612419655,False,1,-5.78144885783488
41,41,41,3,0,3,0,1,hoes neutral,0.3756057832828593,0.026325490549603297,True,1,0.349280292733256
42,42,42,3,0,3,0,1,hoe neutral,0.3756057832828593,0.04162898159383816,True,1,0.33397680168902116
43,43,43,3,0,3,0,1,hoes neutral,0.3756057832828593,0.026325490549603297,True,1,0.349280292733256
44,44,44,3,0,3,0,1,pussy neutral,0.3756057832828593,0.01743031808366201,True,1,0.3581754651991973
45,45,45,3,0,3,0,1,pussy positive,0.39813390669190385,0.016178579319839532,True,1,0.38195532737206433
46,46,46,3,0,3,0,1,pussy positive,0.39813390669190385,0.016178579319839532,True,1,0.38195532737206433
47,47,47,3,0,3,0,1,pussy     fucked negative,0.2923142793867921,0.02190169308309328,True,1,0.27041258630369885
48,48,48,3,0,3,0,1,bitches negative,0.2923142793867921,0.0159983202810945,True,1,0.2763159591056976
49,49,49,3,1,2,0,1,hoes  niggas neutral,0.3756057832828593,0.09830399904706137,True,1,0.27730178423579793
50,50,50,3,1,2,0,1,niggas   bitches neutral,0.3756057832828593,0.1049476887660604,True,1,0.2706580945167989
51,51,51,3,0,3,0,1,niggas   hoes      bitches neutral,0.3756057832828593,0.10578154292762927,True,1,0.26982424035523006
52,52,52,3,0,3,0,1,bitches positive,0.39813390669190385,0.014582856869342773,True,1,0.38355104982256105
53,53,53,3,0,3,0,1,bitches positive,0.39813390669190385,0.014582856869342773,True,1,0.38355104982256105
54,54,54,3,0,2,1,1,hoes positive,0.39813390669190385,0.020578206504704297,True,1,0.3775557001871995
55,55,55,3,0,3,0,1,niggas      bitches positive,0.39813390669190385,0.10443581122004532,True,1,0.29369809547185854
56,56,56,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
57,57,57,3,0,3,0,1,hoe neutral,0.3756057832828593,0.04162898159383816,True,1,0.33397680168902116
58,58,58,3,0,3,0,1,bitch neutral,0.3756057832828593,0.014547676997869548,True,1,0.36105810628498974
59,59,59,3,0,3,0,1,fuck  bitches negative,0.2923142793867921,0.02088423012278626,True,1,0.2714300492640058
60,60,60,3,0,2,1,1,bitch positive,0.39813390669190385,0.015432037788869412,True,1,0.3827018689030344
61,61,61,3,0,3,0,1,fucking fag negative,0.2923142793867921,0.8040421290456542,True,1,-0.5117278496588621
62,62,62,3,0,3,0,1,pussy             pussy positive,0.39813390669190385,0.01923824225753734,True,1,0.3788956644343665
63,63,63,3,0,0,3,2,  positive,2.323663023738585,0.39293997304295125,True,2,1.9307230506956339
64,64,64,3,0,3,0,1,bitch   bitches negative,0.2923142793867921,0.018850321787345917,True,1,0.2734639575994462
65,65,65,3,0,3,0,1,bitch negative,0.2923142793867921,0.018660843305260803,True,1,0.2736534360815313
66,66,66,3,0,1,2,2,  positive,2.323663023738585,0.39293997304295125,True,2,1.9307230506956339
67,67,67,3,0,1,2,2,  positive,2.323663023738585,0.39293997304295125,True,2,1.9307230506956339
