,Unnamed: 0,count,hate_speech,offensive_language,neither,label,sentence1
0,0,3,0,0,3,2, 
1,1,3,0,3,0,1, 
2,2,3,0,3,0,1, 
3,3,3,0,2,1,1, 
4,4,6,0,6,0,1, 
5,5,3,1,2,0,1, 
6,6,3,0,3,0,1, 
7,7,3,0,3,0,1, 
8,8,3,0,3,0,1, 
9,9,3,1,2,0,1, 
10,10,3,0,3,0,1, 
11,11,3,0,3,0,1, 
12,12,3,0,2,1,1, 
13,13,3,0,3,0,1, 
14,14,3,1,2,0,1, 
15,15,3,0,3,0,1, 
16,16,3,0,3,0,1, 
17,17,3,1,2,0,1, 
18,18,3,0,3,0,1, 
19,19,3,0,3,0,1, 
20,20,3,0,3,0,1, 
21,21,3,0,3,0,1, 
22,22,3,0,3,0,1, 
23,23,3,0,3,0,1, 
24,24,3,0,3,0,1, 
25,25,3,0,2,1,1, 
26,26,3,0,3,0,1, 
27,27,3,0,3,0,1, 
28,28,3,0,3,0,1, 
29,29,3,0,3,0,1, 
30,30,3,0,3,0,1, 
31,31,3,0,3,0,1, 
32,32,3,0,3,0,1, 
33,33,3,0,3,0,1, 
34,34,3,0,3,0,1, 
35,35,3,0,3,0,1, 
36,36,3,0,3,0,1, 
37,37,3,0,3,0,1, 
38,38,3,0,2,1,1, 
39,39,3,0,3,0,1, 
40,40,3,0,1,2,2, 
41,41,3,0,3,0,1, 
42,42,3,0,3,0,1, 
43,43,3,0,3,0,1, 
44,44,3,0,3,0,1, 
45,45,3,0,3,0,1, 
46,46,3,0,3,0,1, 
47,47,3,0,3,0,1, 
48,48,3,0,3,0,1, 
49,49,3,1,2,0,1, 
50,50,3,1,2,0,1, 
51,51,3,0,3,0,1, 
52,52,3,0,3,0,1, 
53,53,3,0,3,0,1, 
54,54,3,0,2,1,1, 
55,55,3,0,3,0,1, 
56,56,3,0,3,0,1, 
57,57,3,0,3,0,1, 
58,58,3,0,3,0,1, 
59,59,3,0,3,0,1, 
60,60,3,0,2,1,1, 
61,61,3,0,3,0,1, 
62,62,3,0,3,0,1, 
63,63,3,0,0,3,2, 
64,64,3,0,3,0,1, 
65,65,3,0,3,0,1, 
66,66,3,0,1,2,2, 
67,67,3,0,1,2,2, 
68,68,3,0,3,0,1, 
69,69,3,1,2,0,1, 
70,70,3,0,0,3,2, 
71,71,3,0,3,0,1, 
72,72,3,0,3,0,1, 
73,73,3,0,3,0,1, 
74,74,3,1,2,0,1, 
75,75,3,0,1,2,2, 
76,76,3,0,3,0,1, 
77,77,3,1,2,0,1, 
78,78,3,0,3,0,1, 
79,79,3,1,2,0,1, 
80,80,9,0,7,2,1, 
81,81,3,0,3,0,1, 
82,82,3,0,3,0,1, 
83,83,3,1,2,0,1, 
84,84,3,0,3,0,1, 
